,IDADE,RENDA_TITULAR,CLASS,ESTADO_CIVIL_CO,ESTADO_CIVIL_SE,ESTADO_CIVIL_SO,ESTADO_CIVIL_VI,CATEGORIAL_PROFISSAO_APOSENTADO,CATEGORIAL_PROFISSAO_ASSALARIADO,CATEGORIAL_PROFISSAO_AUT+NOMO,CATEGORIAL_PROFISSAO_LIBERAL,TIPO_RESIDENCIA_FA,TIPO_RESIDENCIA_FI,TIPO_RESIDENCIA_OU,TIPO_RESIDENCIA_PR,TIPO_RESIDENCIA_SM
6322,41,1465.0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
6324,87,1880.0,1,0,0,0,1,1,0,0,0,0,0,0,1,0
6325,52,1600.0,1,0,0,1,0,0,0,1,0,0,0,0,1,0
6327,34,1000.0,1,1,0,0,0,0,0,1,0,0,0,0,0,0
6328,29,1236.0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
6329,28,1831.0,1,0,0,1,0,0,1,0,0,0,0,1,0,0
6330,47,2000.0,1,1,0,0,0,0,0,1,0,0,0,0,1,0
6332,54,937.0,1,0,1,0,0,1,0,0,0,0,0,0,1,0
6333,26,692.0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
6334,22,1370.0,1,0,0,1,0,0,1,0,0,0,0,0,1,0
6335,56,1800.0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
6336,28,2520.97,1,1,0,0,0,0,1,0,0,0,0,1,0,0
6337,29,746.0,1,0,0,1,0,0,1,0,0,0,0,1,0,0
6338,31,1400.0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
6339,22,1200.0,1,0,0,1,0,0,0,1,0,0,0,0,1,0
6341,40,946.0,1,0,0,1,0,0,1,0,0,0,0,0,1,0
6342,56,2000.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
6343,28,1200.0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
6344,47,1061.0,1,1,0,0,0,0,1,0,0,1,0,0,0,0
6345,41,1144.0,1,0,0,1,0,0,1,0,0,0,0,0,1,0
6347,38,1700.0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
6349,35,937.0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
6350,20,1100.0,1,0,0,1,0,0,0,1,0,0,0,1,0,0
6351,29,880.0,1,0,0,1,0,0,0,1,0,0,0,0,1,0
6352,62,1800.0,1,0,0,1,0,0,0,1,0,0,0,0,1,0
6353,27,1500.0,1,0,0,1,0,0,0,1,0,0,0,0,1,0
6355,33,1604.0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
6356,56,3000.0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
6357,21,1200.0,1,0,0,1,0,0,0,1,0,0,0,0,1,0
6358,33,917.0,1,0,0,1,0,0,1,0,0,0,0,1,0,0
6359,21,1230.0,1,0,0,1,0,0,1,0,0,0,0,1,0,0
6360,61,1700.0,1,0,0,1,0,0,0,1,0,0,0,0,1,0
6362,47,937.0,1,0,0,1,0,1,0,0,0,0,0,0,1,0
6364,50,1760.0,1,0,1,0,0,0,1,0,0,0,0,0,1,0
6365,78,937.0,1,0,0,1,0,1,0,0,0,0,0,1,0,0
6367,38,1665.0,1,0,0,1,0,0,1,0,0,0,0,1,0,0
6368,76,937.0,1,0,1,0,0,1,0,0,0,0,0,0,1,0
6370,45,958.0,1,0,0,1,0,0,1,0,0,0,0,1,0,0
6371,40,1211.0,1,1,0,0,0,0,1,0,0,0,0,0,1,0
6372,54,1200.0,1,0,0,1,0,0,0,1,0,0,0,0,1,0
6373,22,1650.0,1,0,0,1,0,0,1,0,0,0,0,1,0,0
6374,34,1400.0,1,1,0,0,0,0,0,1,0,0,0,0,1,0
6375,24,1300.0,1,1,0,0,0,0,1,0,0,0,0,0,1,0
6377,50,2526.0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
6378,33,1078.0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
6380,20,1780.0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
6381,65,892.0,1,0,0,1,0,0,1,0,0,0,0,1,0,0
6383,50,1200.0,1,0,1,0,0,0,0,1,0,0,0,0,1,0
6385,23,1264.7,1,0,0,1,0,0,1,0,0,0,0,1,0,0
6387,40,1500.0,1,0,0,1,0,0,1,0,0,0,0,0,1,0
6389,32,3000.0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
6391,42,2000.0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
6392,23,1500.0,1,1,0,0,0,0,0,1,0,0,0,0,1,0
6393,20,1200.0,1,0,0,1,0,0,0,1,0,0,0,1,0,0
6395,24,1200.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
6400,27,937.0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
6401,21,769.0,1,0,0,1,0,0,1,0,0,0,0,1,0,0
6402,53,1600.0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
6403,54,2978.0,1,0,0,0,1,1,0,0,0,0,0,1,0,0
6404,31,1143.0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
6405,52,1200.0,1,0,1,0,0,0,0,1,0,0,0,1,0,0
6406,26,1618.0,1,0,0,1,0,0,1,0,0,0,0,0,1,0
6407,23,1200.0,1,0,0,1,0,0,0,1,0,0,0,1,0,0
6408,23,1235.0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
6409,48,1200.0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
6410,50,2500.0,1,0,0,1,0,0,0,1,0,0,0,0,1,0
6411,58,1800.0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
6412,21,1200.0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
6413,23,1199.78,1,0,0,1,0,0,1,0,0,0,0,1,0,0
6415,46,937.0,1,1,0,0,0,0,1,0,0,0,0,0,1,0
6418,65,930.0,1,0,0,1,0,1,0,0,0,0,0,0,1,0
6420,27,1200.0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
6421,49,1400.0,1,0,0,1,0,0,0,1,0,0,0,0,1,0
6422,23,1435.0,1,0,0,1,0,0,1,0,0,0,0,0,1,0
6423,59,1430.0,1,0,0,0,1,1,0,0,0,0,1,0,0,0
6424,22,1350.0,1,0,0,1,0,0,1,0,0,0,0,0,1,0
6426,28,1900.0,1,1,0,0,0,0,0,1,0,0,0,0,0,0
6427,35,1500.0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
6428,44,1175.0,1,0,1,0,0,0,1,0,0,0,0,0,1,0
6429,35,1500.0,1,1,0,0,0,0,0,1,0,0,0,1,0,0
6430,20,1500.0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
6431,64,875.0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
6432,40,1148.44,1,0,0,0,0,0,1,0,0,0,0,0,1,0
6433,55,930.0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
6435,30,1164.0,1,0,0,1,0,0,1,0,0,0,0,1,0,0
6436,59,2200.0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
6437,29,1300.0,1,0,0,1,0,0,1,0,0,0,0,0,1,0
6438,35,1480.0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
6439,76,1874.0,1,0,0,0,1,1,0,0,0,0,0,0,1,0
6440,43,1138.0,1,0,0,1,0,0,1,0,0,0,0,0,1,0
6441,20,1076.0,1,0,0,1,0,0,1,0,0,0,0,1,0,0
6442,72,2097.0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
6443,27,1087.0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
6444,31,1118.0,1,0,0,1,0,0,1,0,0,0,0,1,0,0
6446,66,1733.28,1,0,0,0,0,1,0,0,0,0,0,0,1,0
6447,56,1500.0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
6448,20,1220.05,1,1,0,0,0,1,0,0,0,1,0,0,0,0
6449,25,1200.0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
6450,21,937.0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
6451,22,956.0,1,0,0,1,0,0,1,0,0,0,0,1,0,0
6455,59,2000.0,1,0,1,0,0,0,0,1,0,0,0,0,1,0
6456,65,3500.0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
6457,24,1700.0,1,0,0,1,0,0,0,1,0,0,0,1,0,0
6458,29,1500.0,1,0,0,1,0,0,0,1,0,0,0,0,1,0
6459,36,1500.0,1,0,0,1,0,0,0,1,0,0,0,1,0,0
6460,28,936.0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
6461,36,2179.0,1,0,0,1,0,0,1,0,0,0,0,0,1,0
6462,61,1100.0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
6465,22,500.0,1,0,0,1,0,0,0,1,0,0,0,1,0,0
6466,51,1442.18,1,0,0,1,0,0,1,0,0,0,0,1,0,0
6467,80,1800.0,1,0,0,0,1,1,0,0,0,0,0,0,1,0
6468,37,2475.0,1,0,1,0,0,0,1,0,0,0,0,0,1,0
6469,64,1200.0,1,0,1,0,0,1,0,0,0,0,0,0,1,0
6470,63,2811.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
6471,47,2000.0,1,0,0,1,0,0,0,1,0,0,0,0,1,0
6472,33,1000.0,1,0,0,1,0,1,0,0,0,0,0,0,1,0
6474,29,3500.0,1,0,0,1,0,0,1,0,0,0,0,0,1,0
6475,69,760.0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
6476,34,1456.0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
6477,41,3105.0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
6479,41,5000.0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
6481,62,948.0,1,0,0,1,0,0,1,0,0,0,0,1,0,0
6482,38,2600.0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
6483,72,2320.0,1,0,1,0,0,1,0,0,0,0,0,0,1,0
6484,34,1215.0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
6485,53,2000.0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
6487,23,1000.0,1,1,0,0,0,0,0,1,0,0,0,1,0,0
6488,50,8583.0,1,0,0,1,0,0,1,0,0,0,0,0,1,0
6489,53,1484.0,1,0,0,1,0,0,1,0,0,0,0,0,1,0
6491,27,2000.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
6493,21,1170.0,1,0,0,1,0,0,1,0,0,0,0,1,0,0
6494,32,1200.0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
6499,41,2395.0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
6500,54,1500.0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
6503,25,550.0,1,0,0,1,0,0,1,0,0,0,0,1,0,0
6504,31,1400.0,1,0,0,1,0,0,1,0,0,1,0,0,0,0
6507,35,1900.0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
6508,24,1824.44,1,0,0,0,0,0,1,0,0,0,0,1,0,0
6510,45,1300.0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
6511,59,2500.0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
6513,35,2260.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
6514,50,1250.0,1,0,1,0,0,1,0,0,0,0,0,0,1,0
6515,48,1300.0,1,0,0,1,0,0,0,1,0,0,0,0,1,0
6517,20,937.0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
6518,51,3000.0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
6519,34,5000.0,1,0,0,1,0,0,0,1,0,0,0,0,1,0
6520,21,939.0,1,0,0,1,0,0,1,0,0,0,0,1,0,0
6521,72,2500.0,1,0,0,1,0,1,0,0,0,0,0,0,1,0
6523,54,1600.0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
6524,43,2000.0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
6525,34,1300.0,1,1,0,0,0,0,0,1,0,0,0,0,1,0
6527,28,5000.0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
6528,47,1750.0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
6530,30,1224.0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
6531,22,1400.0,1,0,0,1,0,0,1,0,0,0,0,1,0,0
6532,44,1700.0,1,0,0,1,0,0,0,1,0,0,0,0,1,0
6534,33,1500.0,1,0,0,1,0,0,0,1,0,0,0,0,1,0
6535,40,1140.0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
6536,55,1100.0,1,0,0,1,0,0,0,1,0,0,0,0,1,0
6538,37,1500.0,1,0,0,1,0,0,1,0,0,0,0,0,1,0
6539,66,2000.0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
6540,23,2200.0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
6542,56,1140.0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
6543,54,2100.0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
6545,26,1176.0,1,0,0,1,0,0,1,0,0,0,1,0,0,0
6546,20,500.0,1,0,0,1,0,0,0,1,0,0,0,1,0,0
6547,28,1500.0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
6549,20,2500.0,1,0,0,1,0,0,0,1,0,0,0,1,0,0
6551,27,1655.11,1,1,0,0,0,0,1,0,0,0,0,0,0,0
6552,57,2650.52,1,0,0,0,1,1,0,0,0,0,0,1,0,0
6554,40,2001.0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
6557,25,1000.0,1,0,0,1,0,0,0,1,0,0,0,1,0,0
6559,34,2000.0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
6560,55,848.0,1,0,1,0,0,0,1,0,0,0,0,0,1,0
6561,41,2500.0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
6562,49,1350.0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
6563,42,2400.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
6564,56,2000.0,1,0,0,1,0,0,1,0,0,0,0,0,1,0
6567,20,600.0,1,1,0,0,0,0,0,1,0,0,0,1,0,0
6568,68,937.0,1,0,1,0,0,1,0,0,0,0,0,0,1,0
6570,40,1300.0,1,0,1,0,0,0,1,0,0,0,1,0,0,0
6571,46,1070.0,1,1,0,0,0,0,0,1,0,0,0,0,1,0
6572,30,2500.0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
6573,25,1700.0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
6574,27,2800.0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
6576,39,2331.19,1,0,0,1,0,0,1,0,0,0,0,0,1,0
6577,40,1800.0,1,0,0,1,0,0,0,1,0,0,0,1,0,0
6578,28,1292.0,1,0,0,1,0,0,1,0,0,0,0,1,0,0
6579,27,1041.0,1,0,0,1,0,0,1,0,0,0,0,1,0,0
6580,56,2500.0,1,0,0,1,0,0,0,1,0,0,1,0,0,0
6581,30,2150.0,1,0,0,1,0,0,1,0,0,0,0,1,0,0
6582,24,932.4,1,0,0,1,0,0,1,0,0,0,0,1,0,0
6583,62,1155.0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
6584,44,940.0,1,0,0,1,0,0,1,0,0,0,0,0,1,0
6585,72,1568.0,1,0,0,0,1,1,0,0,0,0,0,0,1,0
6588,41,1280.0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
6589,20,1310.59,1,0,0,1,0,0,1,0,0,0,0,1,0,0
6590,49,2000.0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
6592,55,2337.0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
6593,20,1300.0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
6594,43,1500.0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
6595,63,937.0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
6596,20,600.0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
6601,21,1200.0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
6602,21,2000.0,1,0,0,1,0,0,0,1,0,0,0,1,0,0
6603,44,1700.0,1,0,0,0,1,1,0,0,0,0,0,0,0,0
6604,66,1140.0,1,0,0,1,0,1,0,0,0,0,0,0,1,0
6605,20,1350.0,1,0,0,1,0,0,1,0,0,0,0,1,0,0
6606,27,1012.0,1,0,0,1,0,0,1,0,0,0,0,0,1,0
6607,31,1192.0,1,0,0,1,0,0,0,1,0,0,0,1,0,0
6610,29,2000.0,1,0,0,1,0,0,0,1,0,0,0,0,1,0
6611,40,1400.0,1,1,0,0,0,0,0,1,0,0,0,0,1,0
6612,30,1200.0,1,1,0,0,0,0,0,1,0,0,0,1,0,0
6613,27,1400.0,1,0,0,1,0,0,1,0,0,1,0,0,0,0
6614,86,937.0,1,0,0,0,1,1,0,0,0,0,0,0,1,0
6616,66,652.0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
6617,63,974.0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
6618,45,2000.0,1,0,0,1,0,0,0,1,0,0,0,0,1,0
6620,67,838.0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
6622,63,2295.0,1,0,0,0,1,1,0,0,0,0,0,0,1,0
6624,35,1200.0,1,0,0,1,0,0,1,0,0,0,0,1,0,0
6625,54,2500.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
6626,67,5183.0,1,0,0,0,1,1,0,0,0,0,0,0,1,0
6628,52,937.0,1,0,0,1,0,1,0,0,0,0,0,1,0,0
6629,44,1004.0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
6630,58,1175.0,1,0,1,0,0,0,1,0,0,0,0,0,1,0
6631,47,1800.0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
6632,29,897.0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
6633,29,2200.0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
6634,33,1006.0,1,0,0,1,0,0,1,0,0,0,0,0,1,0
6635,49,2100.0,1,0,0,1,0,0,1,0,0,0,0,0,1,0
6637,27,1384.0,1,1,0,0,0,0,1,0,0,0,0,1,0,0
6638,56,4500.0,1,0,0,1,0,0,1,0,0,0,0,0,1,0
6639,70,1800.0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
6640,41,3098.15,1,0,0,0,0,0,0,0,0,0,0,0,1,0
6641,45,1235.0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
6642,29,2447.0,1,0,0,1,0,0,1,0,0,0,0,1,0,0
6643,54,880.0,1,0,1,0,0,1,0,0,0,1,0,0,0,0
6644,29,1400.0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
6645,32,1288.0,1,0,0,1,0,0,1,0,0,0,0,0,1,0
6646,52,2000.0,1,0,1,0,0,0,1,0,0,0,0,0,1,0
6648,50,2000.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
6649,38,1991.0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
6651,62,880.0,1,0,0,1,0,1,0,0,0,0,0,1,0,0
6652,48,616.0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
6658,54,1200.0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
6659,36,1721.0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
6660,44,932.0,1,0,0,1,0,0,1,0,0,0,0,0,1,0
6661,40,1500.0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
6662,64,1000.0,1,0,0,0,1,1,0,0,0,0,0,0,0,0
6666,54,1500.0,1,1,0,0,0,0,0,1,0,0,0,0,1,0
6667,65,2600.0,1,0,1,0,0,1,0,0,0,0,0,0,1,0
6668,43,1800.0,1,0,0,1,0,0,1,0,0,0,0,0,1,0
6669,39,2500.0,1,1,0,0,0,0,0,1,0,0,0,0,0,0
6670,69,1045.0,1,0,0,1,0,1,0,0,0,0,0,0,1,0
6672,54,1900.0,1,0,0,1,0,0,0,1,0,0,0,1,0,0
6673,62,1365.0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
6674,24,2000.0,1,0,0,1,0,0,0,1,0,0,0,0,1,0
6677,39,1800.0,1,1,0,0,0,0,0,1,0,0,0,0,1,0
6678,24,1380.0,1,0,0,1,0,0,1,0,0,0,0,0,1,0
6679,59,3000.0,1,0,1,0,0,0,0,1,0,0,0,0,1,0
6680,60,1500.0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
6681,56,1200.0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
6682,36,3000.0,1,1,0,0,0,0,0,1,0,0,0,0,1,0
6683,69,937.0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
6684,26,1800.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
6685,33,2998.0,1,0,0,1,0,0,1,0,0,0,0,0,1,0
6687,28,2046.0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
6688,36,3200.0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
6689,37,1100.0,1,0,0,1,0,0,0,1,0,0,0,0,1,0
6691,30,1300.0,1,0,0,1,0,0,0,1,0,0,0,0,1,0
6692,25,575.26,1,0,0,1,0,0,1,0,0,0,0,1,0,0
6693,34,1320.0,1,0,0,1,0,0,1,0,0,0,0,1,0,0
6694,22,1475.0,1,0,0,1,0,0,1,0,0,0,0,1,0,0
6695,42,1961.0,1,1,0,0,0,0,1,0,0,0,0,0,1,0
6697,50,1829.0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
6698,54,5709.0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
6699,27,1500.0,1,0,0,1,0,0,1,0,0,0,0,1,0,0
6700,52,1104.0,1,0,0,1,0,0,0,1,0,0,0,1,0,0
6701,45,2400.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
6702,23,1100.0,1,0,0,1,0,0,1,0,0,0,0,1,0,0
6705,31,970.0,1,0,0,1,0,1,0,0,0,0,0,1,0,0
6706,36,3500.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
6708,25,980.0,1,0,0,1,0,0,1,0,0,0,0,1,0,0
6709,55,1292.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
6710,32,2000.0,1,1,0,0,0,0,1,0,0,0,0,0,1,0
6711,48,1342.0,1,0,0,1,0,0,0,1,0,0,0,0,1,0
6712,23,895.0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
6713,51,1200.0,1,0,1,0,0,0,1,0,0,0,0,0,1,0
6714,41,4000.0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
6715,24,1200.0,1,0,0,1,0,0,0,1,0,1,0,0,0,0
6716,26,1500.0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
6717,38,2333.0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
6718,63,1900.0,1,0,1,0,0,0,0,1,0,0,0,0,1,0
6720,22,1155.0,1,0,0,1,0,0,1,0,0,0,0,0,1,0
6721,30,2000.0,1,0,0,1,0,0,0,1,0,0,0,0,1,0
6722,67,2300.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
6723,47,1050.0,1,1,0,0,0,0,1,0,0,0,0,0,1,0
6725,29,1350.0,1,1,0,0,0,0,1,0,0,0,0,1,0,0
6727,22,1200.0,1,0,0,1,0,0,0,1,0,0,0,1,0,0
6728,26,1721.0,1,0,0,1,0,0,1,0,0,0,0,1,0,0
6729,46,1121.0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
6730,35,1800.0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
6731,24,1201.0,1,0,0,1,0,0,0,1,0,0,0,0,1,0
6732,57,1091.0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
6733,46,1400.0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
6734,29,3000.0,1,0,0,1,0,0,0,1,0,0,0,1,0,0
6735,26,1500.0,1,1,0,0,0,0,0,1,0,0,0,0,0,0
6736,63,1499.18,1,1,0,0,0,1,0,0,0,0,0,1,0,0
6737,23,1158.0,1,0,0,1,0,0,1,0,0,0,0,0,1,0
6739,32,3000.0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
6740,33,1594.0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
6742,51,1000.0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
6743,53,1728.0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
6745,41,3000.0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
6748,38,3000.0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
6752,31,1350.0,1,1,0,0,0,0,1,0,0,0,0,0,1,0
6753,71,937.0,1,0,0,1,0,1,0,0,0,0,0,0,1,0
6755,34,1490.48,1,0,0,0,0,0,1,0,0,0,0,1,0,0
6756,42,3150.0,1,0,0,1,0,0,1,0,0,0,0,0,1,0
6758,37,1734.0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
6760,36,1545.0,1,0,0,1,0,0,1,0,0,0,0,1,0,0
6761,64,937.0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
6762,36,768.0,1,0,0,1,0,0,1,0,0,0,0,1,0,0
6763,37,937.0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
6764,31,1577.0,1,0,0,1,0,0,1,0,0,0,0,0,1,0
6765,38,3000.0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
6766,38,1500.0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
6768,63,1457.0,1,0,0,0,1,1,0,0,0,0,0,0,1,0
6769,24,1849.0,1,0,0,1,0,0,1,0,0,0,0,1,0,0
6770,45,2300.0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
6771,24,1300.0,1,1,0,0,0,0,0,1,0,0,0,1,0,0
6772,44,1086.0,1,0,0,1,0,0,1,0,0,0,0,0,1,0
6773,50,1906.0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
6774,35,1310.0,1,0,0,1,0,0,1,0,0,0,0,0,1,0
6775,39,1300.0,1,0,0,1,0,0,1,0,0,0,0,0,1,0
6776,51,1500.0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
6777,22,1200.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
6779,49,1200.0,1,1,0,0,0,0,0,1,0,0,0,0,1,0
6780,53,1500.0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
6781,29,2100.0,1,1,0,0,0,0,0,0,1,0,0,1,0,0
6783,27,1510.0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
6784,28,1500.0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
6785,20,1103.66,1,0,0,1,0,0,1,0,0,0,0,1,0,0
6786,58,2500.0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
6787,26,4400.0,1,0,0,1,0,0,1,0,0,0,0,0,1,0
6788,63,953.0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
6789,37,1550.0,1,0,0,1,0,0,1,0,0,0,0,0,1,0
6791,23,2900.0,1,0,0,1,0,0,1,0,0,0,0,0,1,0
6792,47,5095.0,1,1,0,0,0,0,1,0,0,0,0,1,0,0
6793,21,1130.0,1,0,0,1,0,0,1,0,0,0,0,0,1,0
6794,55,1511.0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
6795,24,1155.0,1,0,0,1,0,0,0,1,0,1,0,0,0,0
6796,55,1000.0,1,0,1,0,0,0,0,1,0,1,0,0,0,0
6798,37,1431.0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
6799,51,927.0,1,0,0,1,0,0,1,0,0,0,0,0,1,0
6800,63,2153.7,1,0,0,0,0,0,1,0,0,0,0,0,1,0
6801,49,1000.0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
6802,47,1600.0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
6804,70,937.0,1,0,0,1,0,1,0,0,0,0,0,0,1,0
6805,26,1800.0,1,0,0,1,0,0,0,1,0,0,0,0,1,0
6806,59,629.0,1,0,1,0,0,1,0,0,0,0,0,0,1,0
